throw_id,t,x_raw,y_raw,z_raw,vel_x_ground_truth,vel_y_ground_truth,vel_z_ground_truth,vel_x_measured,vel_y_measured,vel_z_measured
7,0.283333333,-0.001920858,-0.022439899,0.207644984,-0.248470424,-3.834520332,-3.656286289,-0.03582335,-3.90942674,-3.634418949
7,0.3,-0.003968504,-0.087219037,0.146652192,-0.248470424,-3.834520332,-3.788895593,-0.122858739,-3.886748256,-3.659567524
7,0.316666667,-0.005067821,-0.149243749,0.082027593,-0.248470424,-3.834520332,-3.921504896,-0.065959036,-3.721482707,-3.87747596
7,0.333333333,-0.007909603,-0.201491355,0.055364988,-0.248470424,-3.834520332,-4.0541142,-0.170506905,-3.134856379,-1.599756294
8,0,0.075867285,1.15714085,0.91149984,,,,0.050973371,-3.565559027,-1.741795149
8,0.016666667,0.076716841,1.097714866,0.882469921,0.133728791,-3.537102981,-2.101457791,0.050973371,-3.565559027,-1.741795149
8,0.033333333,0.074116502,1.038432915,0.849399229,0.133728791,-3.537102981,-2.189261483,-0.156020348,-3.556917052,-1.984241482
8,0.05,0.075749901,0.979143574,0.817751963,0.133728791,-3.537102981,-2.277065175,0.098003923,-3.557360487,-1.898835983
8,0.066666667,0.075840096,0.917491241,0.779973299,0.133728791,-3.537102981,-2.364868868,0.005411688,-3.699139949,-2.266719841
8,0.083333333,0.078020794,0.855970621,0.740997611,0.133728791,-3.537102981,-2.45267256,0.130841931,-3.691237202,-2.338541294
8,0.1,0.075652152,0.792369164,0.698762911,0.133728791,-3.537102981,-2.540476252,-0.142118526,-3.816087452,-2.534081989
8,0.116666667,0.081550593,0.733324786,0.655965967,0.133728791,-3.537102981,-2.628279944,0.353906411,-3.542662667,-2.567816611
8,0.133333333,0.08162005,0.676630477,0.61042594,0.133728791,-3.537102981,-2.716083636,0.004167433,-3.401658537,-2.73240165
8,0.15,0.086512689,0.6130337,0.566438433,0.133728791,-3.537102981,-2.803887328,0.293558339,-3.81580663,-2.639250405
8,0.166666667,0.086981871,0.554183054,0.517102627,0.133728791,-3.537102981,-2.89169102,0.028150922,-3.531038752,-2.960148331
8,0.183333333,0.090969352,0.493648896,0.462985033,0.133728791,-3.537102981,-2.979494712,0.239248893,-3.632049458,-3.247055644
8,0.2,0.096428868,0.43424994,0.412302792,0.133728791,-3.537102981,-3.067298404,0.327570958,-3.563937353,-3.040934468
8,0.216666667,0.10056111,0.376065413,0.355641273,0.133728791,-3.537102981,-3.155102096,0.247934518,-3.491071618,-3.399691148
8,0.233333333,0.106359308,0.313857979,0.301986256,0.133728791,-3.537102981,-3.242905789,0.347891884,-3.732446071,-3.219301009
8,0.25,0.109814686,0.257597781,0.24485635,0.133728791,-3.537102981,-3.330709481,0.207322689,-3.375611836,-3.427794349
8,0.266666667,0.116251081,0.198301573,0.181593752,0.133728791,-3.537102981,-3.418513173,0.386183643,-3.557772526,-3.795755917
8,0.283333333,0.121862403,0.143036789,0.124947053,0.133728791,-3.537102981,-3.506316865,0.336679336,-3.315887031,-3.398801943
8,0.3,0.108121542,0.095915254,0.067632787,0.133728791,-3.537102981,-3.594120557,-0.824451642,-2.827292107,-3.438855974
8,0.316666667,0.090693573,0.070921706,0.059515197,0.133728791,-3.537102981,-3.681924249,-1.045678123,-1.499612856,-0.487055378
9,0,0.045798796,1.295944007,0.93254158,,,,-0.992765792,-3.789630856,-1.695930781
9,0.016666667,0.0292527,1.232783492,0.904276067,-0.585931597,-3.908619421,-1.822112447,-0.992765792,-3.789630856,-1.695930781
9,0.033333333,0.011560932,1.169672462,0.877685062,-0.585931597,-3.908619421,-1.970414987,-1.061506052,-3.78666179,-1.595460261
9,0.05,6.09E-05,1.108235415,0.845739398,-0.585931597,-3.908619421,-2.118717527,-0.689999678,-3.686222829,-1.916739892
9,0.066666667,-0.010799252,1.044609078,0.807747183,-0.585931597,-3.908619421,-2.267020067,-0.651611343,-3.817580243,-2.279532864
9,0.083333333,-0.021048298,0.980492111,0.768322675,-0.585931597,-3.908619421,-2.415322607,-0.614942758,-3.847018036,-2.365470513
9,0.1,-0.032603734,0.917902501,0.728609039,-0.585931597,-3.908619421,-2.563625148,-0.6933262,-3.755376595,-2.382818154
9,0.116666667,-0.047612712,0.847871723,0.682564567,-0.585931597,-3.908619421,-2.711927688,-0.900538641,-4.201846636,-2.762668321
9,0.133333333,-0.050612707,0.78587269,0.6348843,-0.585931597,-3.908619421,-2.860230228,-0.179999744,-3.719941996,-2.860816031
9,0.15,-0.061534948,0.721805836,0.58717795,-0.585931597,-3.908619421,-3.008532768,-0.655334423,-3.844011275,-2.862380978
9,0.166666667,-0.070702022,0.652880757,0.533138739,-0.585931597,-3.908619421,-3.156835308,-0.550024485,-4.135504695,-3.24235268
9,0.183333333,-0.081204177,0.58753829,0.482224528,-0.585931597,-3.908619421,-3.305137848,-0.63012926,-3.920548048,-3.054852617
9,0.2,-0.084377106,0.517959708,0.423502425,-0.585931597,-3.908619421,-3.453440389,-0.190375777,-4.174714885,-3.523326195
9,0.216666667,-0.095313067,0.45406904,0.362747885,-0.585931597,-3.908619421,-3.601742929,-0.656157659,-3.833440116,-3.645272423
9,0.233333333,-0.100031651,0.384604978,0.298361625,-0.585931597,-3.908619421,-3.750045469,-0.283115013,-4.167843737,-3.863175571
9,0.25,-0.10587243,0.320880459,0.239162177,-0.585931597,-3.908619421,-3.898348009,-0.350446726,-3.823471111,-3.551966861
9,0.266666667,-0.113384688,0.253821592,0.169067122,-0.585931597,-3.908619421,-4.046650549,-0.450735506,-4.023532027,-4.205703336
9,0.283333333,-0.120896946,0.186762725,0.098972066,-0.585931597,-3.908619421,-4.194953089,-0.450735506,-4.023532027,-4.205703336
